URL Builder  ::  V4 Company Carvalho & CO,,,,"- Linha A3: modelo dep reenchimento      |.     Em Facebook, utilizar string no campo 'Parâmetro de URL': utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}",,,,,,,,,,,,,,,,,,,,,,,
"Channel
(utm_medium)","Tool
(utm_source)",Squad,Office,Country,Country,Funnel stage,Funnel stage,Goal,Goal,Project Name,Project Name,Type of campaign/channel,Type of campaign/channel,Campo aberto,"Campaign
(utm_campaign)",Posicionamento,Posicionamento,Segmentação,Segmentação,Campo aberto,Conjunto de anúncio (utm_term),Formato,Formato,Campo aberto,Anúncio (utm_content),URL,URL Tagueada
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,tenis-masc,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_tenis-masc,anúncios search,srch-ad,ad01,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_tenis-masc_srch-ad_ad01,https://www.lismagazine.com.br/masculino/tenis1/,https://www.lismagazine.com.br/masculino/tenis1/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_tenis-masc&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_tenis-masc_srch-ad_ad01
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,,v4-ate_sp_perf_ved_lis-magazine_search_,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search__all_kw_,SiteLinks,stlk,tenis-masc-olympikus,v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_tenis-masc-olympikus,https://www.lismagazine.com.br/masculino/tenis1/?mpage=3&brand=Olympikus,https://www.lismagazine.com.br/masculino/tenis1/?mpage=3&brand=Olympikus?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_&utm_term=v4-ate_sp_perf_ved_lis-magazine_search__all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_tenis-masc-olympikus
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,,v4-ate_sp_perf_ved_lis-magazine_search_,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search__all_kw_,SiteLinks,stlk,tenis-masc-mizuno,v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_tenis-masc-mizuno,https://www.lismagazine.com.br/masculino/tenis1/?mpage=3&brand=Mizuno,https://www.lismagazine.com.br/masculino/tenis1/?mpage=3&brand=Mizuno?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_&utm_term=v4-ate_sp_perf_ved_lis-magazine_search__all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_tenis-masc-mizuno
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,mogidascruzes-poa-guararema-itaquaquecetuba-suzano,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,calc-gerais,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_calc-gerais,anúncios search,srch-ad,ad01,v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_calc-gerais_srch-ad_ad01,https://www.lismagazine.com.br/produtos/,https://www.lismagazine.com.br/produtos/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano&utm_term=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_calc-gerais&utm_content=v4-ate_sp_perf_ved_lis-magazine_search_mogidascruzes-poa-guararema-itaquaquecetuba-suzano_all_kw_calc-gerais_srch-ad_ad01
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,,v4-ate_sp_perf_ved_lis-magazine_search_,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search__all_kw_,SiteLinks,stlk,calc-fem,v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_calc-fem,https://www.lismagazine.com.br/feminino/,https://www.lismagazine.com.br/feminino/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_&utm_term=v4-ate_sp_perf_ved_lis-magazine_search__all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_calc-fem
paid,google,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Search - Anúncio de texto em buscadores,search,,v4-ate_sp_perf_ved_lis-magazine_search_,Pos. automático ou mais de um posicionamento manual,all,Palavra chave,kw,,v4-ate_sp_perf_ved_lis-magazine_search__all_kw_,SiteLinks,stlk,calc-masc,v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_calc-masc,https://www.lismagazine.com.br/masculino/,https://www.lismagazine.com.br/masculino/?utm_medium=paid&utm_source=google&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_search_&utm_term=v4-ate_sp_perf_ved_lis-magazine_search__all_kw_&utm_content=v4-ate_sp_perf_ved_lis-magazine_search__all_kw__stlk_calc-masc
paid,meta,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Meta - Anúncios que direcionam para um link externo ao Facebook,link,add-to-cart-ecom-12-01,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,marcas-cid-prox,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox,Link ad - Single ad: Todos os posicionamentos,linkad,ad001-oly-fem-lar,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-oly-fem-lar,https://www.lismagazine.com.br/produtos/tenis-masculino-olympikus-running-veloz-3-43502346/,https://www.lismagazine.com.br/produtos/tenis-masculino-olympikus-running-veloz-3-43502346/?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01&utm_term=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox&utm_content=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-oly-fem-lar
paid,meta,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Meta - Anúncios que direcionam para um link externo ao Facebook,link,add-to-cart-ecom-12-01,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,marcas-cid-prox,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox,Link ad - Single ad: Todos os posicionamentos,linkad,ad001-oly-fem-chal-5,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-oly-fem-chal-5,https://www.lismagazine.com.br/produtos/tenis-masculino-olympikus-challenger-5-treino-43271285/,https://www.lismagazine.com.br/produtos/tenis-masculino-olympikus-challenger-5-treino-43271285/?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01&utm_term=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox&utm_content=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-oly-fem-chal-5
paid,meta,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Meta - Anúncios que direcionam para um link externo ao Facebook,link,add-to-cart-ecom-12-01,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,marcas-cid-prox,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox,Link ad - Single ad: Todos os posicionamentos,linkad,ad001-fem-jet-crazy-bege,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-fem-jet-crazy-bege,https://www.lismagazine.com.br/produtos/tenis-unissex-jet-crazy-jogging-running-estilo-conforto-348/,https://www.lismagazine.com.br/produtos/tenis-unissex-jet-crazy-jogging-running-estilo-conforto-348/?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01&utm_term=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox&utm_content=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-fem-jet-crazy-bege
paid,meta,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Meta - Anúncios que direcionam para um link externo ao Facebook,link,add-to-cart-ecom-12-01,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,vestuario-fem-cid-prox,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox,Link ad - Single ad: Todos os posicionamentos,linkad,ad001-tam-fem-mol-tranc,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox_linkad_ad001-tam-fem-mol-tranc,https://www.lismagazine.com.br/produtos/tamanco-feminino-moleca-trancado-sola-leve-5556-111-ap0p2/,https://www.lismagazine.com.br/produtos/tamanco-feminino-moleca-trancado-sola-leve-5556-111-ap0p2/?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01&utm_term=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox&utm_content=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox_linkad_ad001-tam-fem-mol-tranc
paid,meta,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Meta - Anúncios que direcionam para um link externo ao Facebook,link,add-to-cart-ecom-12-01,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,vestuario-fem-cid-prox,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox,Link ad - Single ad: Todos os posicionamentos,linkad,ad001-sand-fem-dak-pedras,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox_linkad_ad001-sand-fem-dak-pedras,https://www.lismagazine.com.br/produtos/sandalia-feminina-dakota-salto-vertuo-pedras-y9581-4rwam/,https://www.lismagazine.com.br/produtos/sandalia-feminina-dakota-salto-vertuo-pedras-y9581-4rwam/?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01&utm_term=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox&utm_content=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox_linkad_ad001-sand-fem-dak-pedras
paid,meta,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Meta - Anúncios que direcionam para um link externo ao Facebook,link,add-to-cart-ecom-12-01,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,vestuario-fem-cid-prox,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox,Link ad - Single ad: Todos os posicionamentos,linkad,ad001-sand-fem-ram-3-tiras,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox_linkad_ad001-sand-fem-ram-3-tiras,https://www.lismagazine.com.br/produtos/sandalia-feminina-ramarim-dourada-3-tiras-salto-fla-25-41205-t8m0l/,https://www.lismagazine.com.br/produtos/sandalia-feminina-ramarim-dourada-3-tiras-salto-fla-25-41205-t8m0l/?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01&utm_term=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox&utm_content=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_vestuario-fem-cid-prox_linkad_ad001-sand-fem-ram-3-tiras
paid,meta,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Meta - Anúncios que direcionam para um link externo ao Facebook,link,add-to-cart-ecom-12-01,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,marcas-cid-prox,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox,Link ad - Single ad: Todos os posicionamentos,linkad,ad001-ten-act-cas-vio,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-ten-act-cas-vio,https://www.lismagazine.com.br/produtos/tenis-feminino-actvitta-casual-esportivo-conforto-4802-230/,https://www.lismagazine.com.br/produtos/tenis-feminino-actvitta-casual-esportivo-conforto-4802-230/?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01&utm_term=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox&utm_content=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-ten-act-cas-vio
paid,meta,Atena,v4-ate,sao-paulo,sp,Performance,perf,Venda ,ved,Lis Magazine,lis-magazine,Meta - Anúncios que direcionam para um link externo ao Facebook,link,add-to-cart-ecom-12-01,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01,Pos. automático ou mais de um posicionamento manual,all,Interesses,int,marcas-cid-prox,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox,Link ad - Single ad: Todos os posicionamentos,linkad,ad001-ten-viz-cas-branco,v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-ten-viz-cas-branco,https://www.lismagazine.com.br/produtos/tenis-feminino-vizzano-basico-casual-recortes-estilo-conforto-1430-102/,https://www.lismagazine.com.br/produtos/tenis-feminino-vizzano-basico-casual-recortes-estilo-conforto-1430-102/?utm_medium=paid&utm_source=meta&utm_campaign=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01&utm_term=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox&utm_content=v4-ate_sp_perf_ved_lis-magazine_link_add-to-cart-ecom-12-01_all_int_marcas-cid-prox_linkad_ad001-ten-viz-cas-branco
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
paid,linkedin,Atena,v4-ate,Brasil,br,Performance,perf,Cadastro ,cad,Leitão Pork Chopp,leitao-pork-chopp,Linkedin - Anúncios para captura de leads no form nativo,in-leadad,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_,Pos. automático ou mais de um posicionamento manual,all,Listas de clientes,lis,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_,Carrossel,carrossel,,v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_,,?utm_medium=paid&utm_source=linkedin&utm_campaign=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad_&utm_term=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis_&utm_content=v4-ate_br_perf_cad_leitao-pork-chopp_in-leadad__all_lis__carrossel_
